accX,accY,accZ,gyroX,gyroY,gyroZ
0.08,-4.77,0.15,0.03,0.01,-0.01
0.1,-4.77,0.17,0.03,0.01,-0.01
0.11,-4.83,0.15,0.03,0.01,-0.01
0.1,-4.85,0.19,0.03,0.01,-0.01
0.11,-4.81,0.15,0.03,0.01,-0.0
0.06,-4.83,0.19,0.03,0.01,-0.01
0.1,-4.85,0.11,0.03,0.01,-0.0
0.13,-4.83,0.15,0.03,0.01,-0.0
0.11,-4.87,0.17,0.03,0.01,-0.0
0.11,-4.81,0.15,0.03,0.01,-0.0
0.13,-4.75,0.17,0.03,0.01,-0.0
0.17,-4.73,0.13,0.03,0.01,-0.0
0.13,-4.83,0.13,0.03,0.01,-0.0
0.11,-4.83,0.15,0.03,0.01,-0.0
0.1,-4.81,0.17,0.03,0.01,-0.0
0.13,-4.83,0.15,0.03,0.01,-0.0
0.17,-4.85,0.13,0.03,0.01,-0.0
0.23,-4.79,0.15,0.03,0.01,-0.0
0.17,-4.77,0.15,0.03,0.01,-0.0
0.15,-4.77,0.17,0.03,0.01,-0.0
0.11,-4.77,0.08,0.02,0.01,-0.0
0.1,-4.75,0.11,0.02,0.01,-0.0
0.11,-4.75,0.17,0.02,0.01,-0.0
0.15,-4.75,0.15,0.02,0.01,-0.0
0.11,-4.71,0.15,0.02,0.01,-0.0
0.1,-4.71,0.13,0.02,0.01,0.0
0.11,-4.64,0.17,0.02,0.01,0.0
0.17,-4.71,0.15,0.02,0.01,0.01
0.21,-4.71,0.25,0.01,0.01,0.01
0.1,-4.71,0.15,0.01,0.01,0.01
0.15,-4.83,0.25,0.0,0.01,0.02
0.08,-4.81,0.23,-0.0,0.0,0.02
0.1,-4.83,0.15,-0.01,0.0,0.03
0.06,-4.88,0.11,-0.02,0.0,0.03
0.06,-4.94,0.19,-0.02,0.0,0.03
0.06,-5.0,0.25,-0.02,0.01,0.03
0.08,-5.17,0.42,-0.02,0.01,0.02
-0.04,-4.98,0.23,-0.02,0.01,0.02
0.04,-5.0,0.17,-0.02,0.01,0.02
0.0,-4.94,0.15,-0.01,0.01,0.02
0.04,-4.88,0.19,-0.01,0.01,0.02
0.06,-4.9,0.17,-0.01,0.01,0.02
0.06,-4.77,0.17,-0.0,0.01,0.02
0.06,-4.75,0.15,-0.01,0.01,0.02
0.04,-4.71,0.19,-0.01,0.01,0.02
0.06,-4.71,0.21,-0.01,0.01,0.03
0.06,-4.67,0.17,-0.01,0.01,0.03
0.02,-4.67,0.21,-0.02,0.01,0.03
-0.02,-4.64,0.34,-0.02,0.01,0.03
-0.06,-4.64,0.27,-0.03,0.01,0.03
-0.08,-4.73,0.23,-0.03,0.01,0.03
-0.06,-4.73,0.33,-0.04,0.01,0.03
-0.08,-4.77,0.25,-0.04,0.01,0.03
-0.06,-4.75,0.27,-0.04,0.01,0.03
-0.08,-4.79,0.29,-0.04,0.01,0.03
-0.13,-4.79,0.31,-0.04,0.0,0.03
-0.15,-4.87,0.29,-0.04,0.0,0.03
