accX,accY,accZ,gyroX,gyroY,gyroZ
0.21,-4.81,-0.65,0.01,0.03,-0.0
0.21,-4.85,-0.59,0.01,0.03,-0.0
0.17,-4.83,-0.69,0.01,0.03,-0.0
0.19,-4.85,-0.61,0.01,0.03,-0.0
0.25,-4.85,-0.69,0.01,0.03,-0.0
0.27,-4.77,-0.63,0.01,0.03,0.0
0.27,-4.87,-0.57,0.01,0.03,-0.0
0.23,-4.85,-0.56,0.01,0.03,-0.0
0.19,-4.85,-0.73,0.01,0.03,-0.0
0.23,-4.85,-0.65,0.01,0.03,-0.0
0.25,-4.88,-0.63,0.0,0.03,-0.0
0.21,-4.9,-0.63,0.0,0.03,-0.0
0.27,-4.87,-0.52,0.01,0.03,-0.0
0.19,-4.88,-0.56,0.01,0.03,-0.0
0.25,-4.87,-0.61,0.01,0.03,-0.0
0.25,-4.81,-0.65,0.01,0.03,-0.0
0.25,-4.87,-0.61,0.01,0.03,-0.0
0.23,-4.85,-0.65,0.01,0.03,-0.0
0.17,-4.81,-0.63,0.01,0.03,-0.0
0.21,-4.83,-0.57,0.01,0.03,-0.0
0.27,-4.81,-0.65,0.01,0.03,-0.0
0.21,-4.81,-0.57,0.01,0.03,-0.0
0.33,-4.81,-0.63,0.01,0.03,-0.0
0.29,-4.71,-0.5,0.0,0.03,-0.0
0.27,-4.75,-0.77,0.0,0.03,-0.0
0.21,-4.94,-0.67,0.0,0.03,-0.0
0.23,-4.83,-0.63,0.0,0.03,-0.0
0.23,-4.92,-0.56,0.0,0.03,-0.0
0.36,-4.81,-0.34,0.0,0.03,-0.0
0.29,-4.92,-0.52,0.0,0.03,0.0
0.13,-4.96,-0.61,0.01,0.03,0.0
0.13,-4.81,-0.77,0.01,0.03,0.0
0.34,-4.94,-0.84,0.01,0.03,-0.0
0.33,-4.79,-0.86,0.01,0.03,-0.0
0.13,-4.94,-0.73,0.01,0.03,-0.0
0.25,-4.83,-0.71,0.01,0.03,-0.0
0.33,-4.6,-0.61,0.01,0.03,-0.0
0.19,-4.83,-0.52,0.0,0.03,-0.0
0.13,-4.73,-0.67,0.0,0.03,-0.01
0.33,-5.08,-0.98,0.0,0.03,-0.0
0.23,-4.81,-0.59,0.01,0.03,-0.01
0.21,-4.85,-0.52,0.01,0.03,-0.0
0.27,-4.85,-0.56,0.01,0.03,-0.0
0.23,-4.85,-0.56,0.01,0.03,-0.0
0.19,-4.87,-0.59,0.01,0.03,-0.0
0.21,-4.87,-0.59,0.01,0.03,0.0
0.23,-4.85,-0.52,0.01,0.04,0.0
0.23,-4.81,-0.59,0.01,0.04,0.0
0.21,-4.85,-0.59,0.0,0.03,0.0
0.23,-4.87,-0.65,0.0,0.03,0.0
0.21,-4.85,-0.61,-0.0,0.03,0.0
0.27,-4.85,-0.57,-0.0,0.03,0.0
0.27,-4.92,-0.54,-0.01,0.03,0.0
0.21,-4.87,-0.67,-0.01,0.03,0.0
0.25,-4.87,-0.63,-0.01,0.03,-0.0
0.23,-4.85,-0.56,-0.01,0.03,-0.0
0.21,-4.87,-0.54,-0.01,0.03,-0.0
0.17,-4.88,-0.5,-0.01,0.03,-0.0
0.25,-4.94,-0.65,-0.01,0.03,-0.0
0.23,-4.9,-0.67,-0.01,0.03,-0.0
0.25,-4.81,-0.59,-0.0,0.03,-0.0
0.23,-4.85,-0.52,-0.0,0.03,-0.0
0.21,-4.88,-0.63,-0.0,0.03,-0.0
0.21,-4.87,-0.54,-0.0,0.03,-0.0
0.17,-4.85,-0.61,-0.0,0.03,-0.0
0.17,-4.85,-0.67,-0.0,0.03,-0.0
0.23,-4.9,-0.63,-0.0,0.03,-0.0
0.17,-4.85,-0.57,-0.0,0.03,-0.0
0.21,-4.88,-0.54,-0.0,0.03,-0.0
0.29,-4.85,-0.61,-0.0,0.03,-0.0
0.23,-4.87,-0.65,-0.0,0.03,-0.0
0.21,-4.88,-0.61,-0.0,0.03,-0.0
0.19,-4.85,-0.61,-0.0,0.03,-0.0
0.19,-4.81,-0.57,-0.0,0.03,-0.0
0.23,-4.85,-0.57,-0.0,0.03,-0.0
0.23,-4.87,-0.61,-0.0,0.03,-0.0
0.21,-4.85,-0.57,0.0,0.03,-0.0
0.15,-4.85,-0.61,0.0,0.03,-0.0
0.29,-4.87,-0.54,0.0,0.03,-0.0
0.25,-4.88,-0.61,0.0,0.03,-0.0
0.23,-4.88,-0.57,0.0,0.03,-0.0
0.21,-4.81,-0.57,0.0,0.03,-0.0
0.23,-4.81,-0.61,0.0,0.03,-0.0
0.21,-4.79,-0.59,-0.0,0.03,-0.0
0.23,-4.83,-0.59,-0.0,0.03,-0.0
0.21,-4.85,-0.61,-0.0,0.03,-0.0
0.17,-4.87,-0.56,-0.01,0.03,-0.0
0.25,-4.81,-0.63,-0.01,0.03,-0.0
0.29,-4.87,-0.52,-0.01,0.03,-0.0
0.19,-4.83,-0.57,-0.01,0.03,-0.0
0.25,-4.85,-0.59,-0.01,0.03,-0.0
0.25,-4.87,-0.59,-0.01,0.03,-0.0
0.25,-4.87,-0.59,-0.01,0.03,-0.0
0.29,-4.85,-0.69,-0.02,0.03,-0.0
0.27,-4.87,-0.67,-0.01,0.03,-0.0
0.27,-4.88,-0.59,-0.01,0.03,-0.0
0.23,-4.87,-0.63,-0.01,0.03,-0.0
0.21,-4.87,-0.65,-0.01,0.03,-0.0
