accX,accY,accZ,gyroX,gyroY,gyroZ
0.38,-5.69,-2.11,-0.56,-0.53,-0.5
0.33,-5.46,-2.15,-0.53,-0.53,-0.52
0.25,-5.23,-2.05,-0.52,-0.54,-0.53
0.11,-4.98,-2.13,-0.52,-0.54,-0.54
0.1,-4.77,-2.05,-0.53,-0.55,-0.55
0.06,-4.5,-1.92,-0.55,-0.57,-0.55
0.0,-4.27,-1.8,-0.57,-0.59,-0.54
-0.1,-4.08,-1.63,-0.6,-0.62,-0.53
-0.46,-3.89,-1.7,-0.64,-0.66,-0.51
-0.54,-3.72,-1.63,-0.67,-0.7,-0.49
-0.8,-3.56,-1.4,-0.7,-0.75,-0.47
-0.92,-3.43,-1.32,-0.72,-0.79,-0.44
-1.17,-3.29,-1.28,-0.74,-0.82,-0.4
-1.26,-3.2,-1.38,-0.74,-0.85,-0.36
-1.32,-3.2,-1.34,-0.74,-0.87,-0.31
-1.53,-3.16,-1.36,-0.73,-0.88,-0.26
-1.51,-3.24,-1.3,-0.72,-0.88,-0.21
-1.55,-3.37,-1.36,-0.71,-0.88,-0.15
-1.4,-3.45,-1.42,-0.7,-0.88,-0.1
-1.36,-3.41,-1.42,-0.69,-0.87,-0.04
-1.23,-3.47,-1.57,-0.67,-0.85,0.01
-1.02,-3.52,-1.57,-0.66,-0.83,0.07
-0.75,-3.41,-1.76,-0.65,-0.81,0.13
-0.31,-3.43,-1.78,-0.65,-0.79,0.18
0.0,-3.2,-1.72,-0.65,-0.77,0.22
0.46,-3.03,-1.84,-0.67,-0.76,0.26
0.84,-2.83,-1.86,-0.69,-0.74,0.29
1.26,-2.6,-1.92,-0.73,-0.72,0.3
1.65,-2.47,-1.74,-0.77,-0.71,0.31
1.99,-2.41,-1.63,-0.8,-0.71,0.31
2.18,-2.51,-1.46,-0.82,-0.71,0.31
2.43,-2.7,-1.51,-0.83,-0.71,0.3
2.45,-3.03,-1.46,-0.83,-0.7,0.3
2.51,-3.52,-1.59,-0.8,-0.68,0.29
2.45,-3.96,-1.69,-0.76,-0.63,0.29
2.45,-4.33,-1.78,-0.71,-0.57,0.29
2.43,-4.6,-2.03,-0.64,-0.48,0.29
2.32,-4.67,-2.24,-0.57,-0.39,0.29
2.15,-4.83,-2.45,-0.49,-0.3,0.29
2.05,-4.9,-2.91,-0.41,-0.22,0.29
1.93,-4.85,-3.26,-0.34,-0.16,0.29
1.84,-4.88,-3.58,-0.29,-0.1,0.29
1.69,-4.79,-3.85,-0.28,-0.05,0.27
1.51,-4.73,-4.06,-0.31,0.0,0.25
1.32,-4.62,-4.14,-0.36,0.05,0.22
1.24,-4.62,-4.12,-0.43,0.09,0.2
1.09,-4.48,-4.21,-0.53,0.14,0.17
0.88,-4.37,-4.31,-0.63,0.18,0.14
0.73,-4.27,-4.44,-0.73,0.22,0.12
0.65,-4.14,-4.48,-0.83,0.28,0.11
0.52,-3.96,-4.44,-0.92,0.35,0.09
0.34,-3.79,-4.62,-1.0,0.43,0.09
0.19,-3.83,-4.65,-1.05,0.5,0.09
0.0,-3.77,-4.88,-1.08,0.56,0.1
-0.33,-3.83,-5.11,-1.08,0.59,0.12
-0.52,-4.0,-5.36,-1.04,0.61,0.15
-0.71,-4.19,-5.77,-0.99,0.62,0.18
-0.82,-4.46,-6.13,-0.94,0.63,0.21
-1.02,-4.81,-6.55,-0.89,0.66,0.24
-1.19,-5.06,-6.91,-0.87,0.69,0.26
-1.28,-5.4,-7.2,-0.86,0.73,0.28
-1.44,-5.65,-7.49,-0.89,0.76,0.29
-1.51,-6.03,-7.68,-0.95,0.78,0.29
-1.47,-6.17,-7.81,-1.04,0.8,0.29
-1.34,-6.47,-7.81,-1.14,0.78,0.28
-1.09,-6.8,-7.93,-1.26,0.75,0.28
-0.79,-7.05,-7.91,-1.4,0.71,0.27
-0.48,-7.16,-7.91,-1.54,0.67,0.26
-0.21,-7.34,-7.64,-1.67,0.63,0.24
-0.04,-7.28,-7.45,-1.78,0.6,0.22
0.02,-7.2,-7.13,-1.86,0.58,0.2
0.06,-7.07,-6.63,-1.91,0.56,0.18
0.1,-6.86,-6.11,-1.91,0.52,0.17
0.06,-6.57,-5.65,-1.88,0.49,0.17
0.15,-6.32,-5.15,-1.82,0.44,0.17
0.04,-5.98,-4.71,-1.74,0.39,0.18
0.04,-5.57,-4.12,-1.65,0.34,0.19
-0.02,-5.19,-3.52,-1.55,0.28,0.21
-0.13,-4.92,-2.87,-1.45,0.23,0.24
-0.33,-4.5,-2.36,-1.35,0.16,0.27
-0.42,-4.25,-1.8,-1.25,0.1,0.3
-0.52,-4.06,-1.23,-1.16,0.04,0.33
-0.67,-3.87,-0.79,-1.08,-0.02,0.35
-0.73,-3.68,-0.52,-1.03,-0.07,0.36
-0.84,-3.56,-0.15,-1.0,-0.12,0.37
-0.9,-3.43,0.1,-0.98,-0.16,0.37
-0.94,-3.28,0.21,-0.98,-0.21,0.36
-0.94,-3.08,0.48,-0.98,-0.25,0.35
-0.94,-2.91,0.65,-0.99,-0.29,0.34
-0.77,-2.72,0.82,-1.01,-0.32,0.33
-0.75,-2.55,1.09,-1.03,-0.35,0.32
-0.73,-2.34,1.26,-1.05,-0.37,0.31
-0.65,-2.07,1.65,-1.07,-0.38,0.3
-0.61,-1.78,1.86,-1.08,-0.38,0.29
-0.69,-1.36,2.57,-1.1,-0.35,0.28
-0.36,-0.94,3.03,-1.11,-0.32,0.28
-0.21,-0.4,3.49,-1.11,-0.29,0.27
0.0,0.1,3.81,-1.13,-0.28,0.27
0.08,0.84,4.25,-1.15,-0.3,0.27
0.25,1.53,4.52,-1.18,-0.34,0.27
0.29,2.34,4.65,-1.22,-0.4,0.27
0.75,2.95,4.6,-1.3,-0.5,0.29
1.26,3.08,4.19,-1.39,-0.59,0.31
2.09,2.91,3.51,-1.51,-0.69,0.33
2.87,2.36,2.82,-1.65,-0.76,0.33
3.56,1.69,1.88,-1.79,-0.82,0.3
3.93,0.59,0.94,-1.86,-0.83,0.28
3.85,-0.79,0.23,-1.83,-0.77,0.26
3.7,-1.84,-0.34,-1.67,-0.64,0.25
3.45,-2.7,-0.27,-1.42,-0.44,0.27
3.41,-3.31,0.0,-1.09,-0.22,0.3
3.33,-3.47,-0.08,-0.73,0.0,0.33
3.28,-3.45,-0.19,-0.37,0.21,0.35
2.89,-2.89,-0.63,-0.07,0.39,0.33
2.16,-1.92,-1.21,0.13,0.53,0.3
1.74,-1.17,-1.51,0.21,0.6,0.25
1.13,-0.31,-1.97,0.2,0.58,0.19
0.63,0.46,-2.26,0.13,0.48,0.12
0.29,1.15,-2.49,0.01,0.36,0.08
0.1,1.53,-2.66,-0.13,0.29,0.06
-0.08,1.84,-2.82,-0.26,0.28,0.06
-0.04,1.92,-3.01,-0.37,0.27,0.07
-0.08,1.9,-2.83,-0.43,0.25,0.07
-0.11,1.69,-2.93,-0.43,0.2,0.04
-0.63,1.34,-3.05,-0.37,0.13,-0.0
-1.21,1.15,-3.47,-0.27,0.05,-0.05
-1.78,0.69,-3.56,-0.16,-0.03,-0.08
-2.39,0.25,-3.56,-0.04,-0.09,-0.08
-2.82,0.25,-3.08,0.07,-0.12,-0.07
-3.29,0.02,-3.56,0.17,-0.17,-0.04
-3.58,0.08,-3.81,0.27,-0.23,0.01
-3.72,0.17,-4.56,0.35,-0.31,0.07
-3.72,0.34,-5.17,0.39,-0.41,0.13
-3.68,0.65,-5.86,0.39,-0.53,0.19
-3.66,0.96,-6.44,0.35,-0.67,0.23
-3.68,1.21,-6.82,0.27,-0.8,0.27
-3.85,1.28,-7.2,0.2,-0.93,0.3
-3.56,1.34,-7.45,0.14,-1.05,0.33
-3.39,1.3,-7.47,0.09,-1.17,0.36
-3.18,1.23,-7.3,0.07,-1.26,0.36
-3.05,1.09,-7.22,0.08,-1.33,0.36
-2.85,0.86,-7.13,0.1,-1.37,0.35
-2.51,0.65,-7.01,0.14,-1.4,0.34
-2.2,0.5,-6.88,0.2,-1.44,0.3
-1.76,0.42,-6.76,0.25,-1.47,0.25
-1.32,0.46,-6.49,0.3,-1.48,0.19
-0.63,0.48,-6.3,0.34,-1.5,0.15
-0.04,0.4,-6.13,0.38,-1.5,0.11
0.46,0.38,-5.75,0.41,-1.49,0.08
1.03,0.4,-5.59,0.44,-1.46,0.06
1.44,0.33,-5.57,0.46,-1.43,0.05
1.72,0.54,-5.77,0.46,-1.42,0.04
1.82,1.21,-6.24,0.43,-1.41,0.06
1.19,2.16,-6.84,0.35,-1.41,0.13
0.23,3.31,-7.83,0.24,-1.4,0.25
-40.64,32.14,-77.4,-0.01,-1.35,0.44
-38.5,7.09,4.67,-5.51,2.95,2.79
16.01,14.48,41.72,-7.04,4.21,4.46
32.64,9.69,-13.6,0.2,1.01,3.14
13.75,18.22,-15.86,1.46,-0.99,2.15
3.62,14.75,-12.18,0.26,-1.3,2.0
-2.47,10.69,-17.12,-0.27,-1.63,1.58
-10.06,6.63,-19.21,-0.6,-1.7,1.23
-12.95,7.49,-20.71,-0.75,-1.6,1.14
-14.06,5.71,-21.64,-0.78,-1.36,1.07
-15.36,4.0,-20.51,-0.7,-1.11,0.98
