accX,accY,accZ,gyroX,gyroY,gyroZ
-0.17,-5.55,-1.51,-0.83,0.17,0.12
-0.08,-5.59,-1.72,-0.88,0.2,0.11
-0.11,-5.63,-2.01,-0.94,0.22,0.09
0.1,-5.54,-2.22,-1.01,0.22,0.06
0.21,-5.42,-2.3,-1.07,0.21,0.01
0.38,-5.5,-2.2,-1.11,0.2,-0.04
0.56,-5.46,-1.95,-1.12,0.2,-0.08
0.65,-5.44,-1.8,-1.1,0.21,-0.12
0.82,-5.42,-1.69,-1.05,0.22,-0.15
0.88,-5.29,-1.61,-1.01,0.24,-0.18
0.94,-5.25,-1.51,-0.96,0.26,-0.19
0.98,-5.09,-1.36,-0.92,0.29,-0.21
0.96,-4.94,-1.3,-0.89,0.31,-0.22
1.03,-4.73,-1.36,-0.88,0.34,-0.23
0.92,-4.81,-1.34,-0.87,0.37,-0.25
0.94,-4.83,-1.34,-0.88,0.4,-0.27
0.84,-4.75,-1.32,-0.88,0.43,-0.29
0.77,-4.58,-1.4,-0.89,0.46,-0.31
0.8,-4.56,-1.51,-0.9,0.48,-0.32
0.84,-4.54,-1.67,-0.91,0.5,-0.34
0.88,-4.48,-1.69,-0.93,0.52,-0.35
0.94,-4.33,-1.65,-0.95,0.53,-0.35
1.0,-4.27,-1.55,-0.96,0.54,-0.36
1.05,-4.1,-1.57,-0.98,0.55,-0.37
1.17,-4.1,-1.46,-1.0,0.57,-0.38
0.98,-3.98,-1.24,-1.01,0.58,-0.39
1.07,-3.95,-1.07,-1.01,0.59,-0.4
1.13,-4.0,-0.88,-1.01,0.61,-0.42
1.05,-4.06,-0.75,-0.99,0.63,-0.44
0.92,-3.96,-0.67,-0.97,0.65,-0.47
0.88,-3.83,-0.63,-0.96,0.66,-0.49
1.02,-3.66,-0.98,-0.95,0.65,-0.5
0.86,-3.43,-1.13,-0.96,0.63,-0.52
1.03,-3.37,-1.4,-0.98,0.6,-0.55
1.03,-3.24,-1.76,-1.0,0.56,-0.57
0.88,-3.08,-2.28,-1.04,0.53,-0.58
0.96,-3.33,-2.83,-1.1,0.5,-0.58
0.77,-3.47,-3.66,-1.14,0.47,-0.6
0.56,-3.81,-4.33,-1.18,0.43,-0.61
0.42,-3.91,-4.75,-1.21,0.38,-0.63
0.13,-4.19,-5.0,-1.22,0.33,-0.63
0.08,-4.04,-5.21,-1.22,0.25,-0.62
-0.06,-4.19,-5.06,-1.22,0.16,-0.6
-0.31,-4.39,-4.81,-1.2,0.05,-0.58
-0.82,-4.31,-4.42,-1.14,-0.04,-0.59
-1.11,-3.66,-4.27,-1.07,-0.13,-0.6
-1.28,-3.37,-3.87,-1.04,-0.19,-0.6
-1.67,-2.85,-2.95,-1.02,-0.25,-0.59
-1.38,-2.55,-2.41,-0.98,-0.35,-0.57
-1.03,-2.16,-2.2,-0.91,-0.48,-0.51
-0.75,-2.11,-2.41,-0.82,-0.64,-0.44
-0.61,-1.53,-3.2,-0.7,-0.8,-0.37
-0.69,-0.84,-3.6,-0.59,-0.94,-0.33
-0.61,-0.92,-3.62,-0.5,-1.03,-0.3
-1.03,0.06,-3.93,-0.39,-1.1,-0.31
-0.96,0.8,-4.79,-0.29,-1.14,-0.31
-1.07,1.51,-5.69,-0.24,-1.16,-0.31
-1.44,2.28,-6.45,-0.23,-1.17,-0.31
-1.49,2.91,-7.28,-0.27,-1.16,-0.32
-1.67,3.31,-7.64,-0.35,-1.11,-0.32
-1.78,3.7,-8.12,-0.45,-1.03,-0.31
-1.72,3.64,-8.31,-0.54,-0.96,-0.3
-1.47,2.97,-8.33,-0.61,-0.9,-0.27
-1.11,2.59,-8.29,-0.6,-0.83,-0.2
-0.23,2.68,-8.49,-0.52,-0.78,-0.11
0.48,2.8,-8.39,-0.46,-0.75,0.0
0.77,2.66,-7.72,-0.45,-0.75,0.11
1.63,2.11,-7.14,-0.45,-0.79,0.23
2.38,1.65,-6.72,-0.44,-0.8,0.31
2.74,1.3,-5.98,-0.41,-0.77,0.37
3.14,0.9,-5.23,-0.36,-0.71,0.43
3.72,0.63,-4.83,-0.29,-0.64,0.46
4.12,-0.08,-4.31,-0.22,-0.55,0.45
4.58,-0.69,-4.02,-0.14,-0.46,0.44
5.09,-1.13,-3.96,-0.02,-0.39,0.42
5.48,-1.74,-4.44,0.09,-0.34,0.38
4.98,-1.61,-4.65,0.17,-0.27,0.32
4.58,-1.44,-4.25,0.21,-0.2,0.29
4.56,-0.82,-4.19,0.24,-0.15,0.28
4.35,-0.04,-4.25,0.24,-0.14,0.26
4.02,0.73,-5.11,0.2,-0.13,0.27
-20.53,15.21,-70.77,-0.83,0.82,0.58
4.25,2.72,-6.19,-7.4,2.6,1.61
0.56,26.16,-5.04,-7.45,3.06,1.07
1.11,16.55,10.21,-2.94,0.77,0.36
-0.84,7.64,12.16,-1.32,-0.87,0.49
1.82,-2.49,2.64,-0.83,-0.9,0.37
-3.03,5.0,-5.09,-0.37,-0.88,0.16
-1.7,8.03,-2.8,-0.33,-0.8,0.13
-1.99,7.95,-11.36,-0.14,-0.73,0.18
-0.8,7.76,-14.61,-0.25,-0.69,0.22
