accX,accY,accZ,gyroX,gyroY,gyroZ
-0.21,-4.9,-0.34,-0.08,0.04,-0.02
-0.23,-4.92,-0.42,-0.08,0.04,-0.02
-0.21,-5.0,-0.42,-0.08,0.04,-0.02
-0.19,-4.98,-0.42,-0.08,0.04,-0.02
-0.13,-4.92,-0.56,-0.08,0.04,-0.02
-0.19,-5.04,-0.48,-0.08,0.05,-0.02
-0.23,-4.94,-0.4,-0.08,0.05,-0.02
-0.25,-4.98,-0.5,-0.08,0.05,-0.02
-0.23,-5.02,-0.36,-0.08,0.05,-0.02
-0.17,-5.04,-0.42,-0.08,0.05,-0.02
-0.19,-5.02,-0.46,-0.07,0.05,-0.02
-0.15,-5.06,-0.42,-0.07,0.05,-0.02
-0.25,-5.0,-0.5,-0.07,0.05,-0.02
-0.17,-4.94,-0.42,-0.07,0.05,-0.02
-0.15,-5.08,-0.48,-0.07,0.05,-0.02
-0.17,-5.11,-0.36,-0.07,0.05,-0.02
-0.19,-5.0,-0.46,-0.07,0.05,-0.02
-0.19,-5.02,-0.44,-0.06,0.05,-0.02
-0.21,-5.04,-0.46,-0.06,0.06,-0.02
-0.19,-5.06,-0.44,-0.06,0.05,-0.02
-0.25,-5.06,-0.44,-0.06,0.05,-0.02
-0.17,-5.08,-0.46,-0.06,0.06,-0.01
-0.27,-5.04,-0.52,-0.06,0.06,-0.01
-0.23,-5.06,-0.46,-0.06,0.06,-0.02
-0.25,-4.98,-0.52,-0.05,0.05,-0.01
-0.25,-5.11,-0.59,-0.05,0.05,-0.01
-0.21,-4.96,-0.59,-0.05,0.05,-0.01
-0.25,-5.02,-0.48,-0.05,0.05,-0.01
-0.25,-5.04,-0.56,-0.05,0.05,-0.01
-0.23,-5.0,-0.5,-0.05,0.05,-0.01
-0.25,-5.0,-0.59,-0.05,0.05,-0.01
-0.27,-5.0,-0.54,-0.04,0.05,-0.01
-0.29,-5.04,-0.5,-0.04,0.05,-0.01
-0.27,-5.0,-0.52,-0.03,0.04,-0.01
-0.27,-4.98,-0.42,-0.03,0.04,-0.01
-0.25,-4.94,-0.4,-0.03,0.05,-0.01
-0.13,-5.02,-0.4,-0.03,0.05,-0.01
-0.23,-5.0,-0.46,-0.03,0.05,-0.01
-0.19,-5.06,-0.52,-0.02,0.05,-0.01
-0.25,-4.94,-0.54,-0.02,0.05,-0.01
-0.17,-5.04,-0.52,-0.02,0.05,-0.01
-0.21,-5.0,-0.48,-0.02,0.05,-0.01
-0.19,-5.04,-0.59,-0.01,0.05,-0.01
-0.11,-4.98,-0.59,-0.01,0.05,-0.0
-0.17,-4.96,-0.63,-0.01,0.06,-0.0
-0.15,-5.0,-0.48,-0.01,0.06,-0.0
-0.17,-4.96,-0.56,-0.0,0.06,-0.0
-0.11,-5.0,-0.54,0.0,0.06,0.0
-0.11,-5.02,-0.59,0.0,0.06,0.0
-0.08,-4.94,-0.63,0.0,0.07,0.0
-0.1,-5.0,-0.61,0.01,0.07,0.0
0.0,-4.96,-0.65,0.01,0.07,0.01
-0.08,-4.98,-0.56,0.01,0.07,0.01
-0.02,-4.96,-0.61,0.01,0.08,0.01
0.04,-5.02,-0.61,0.01,0.08,0.01
0.0,-5.0,-0.65,0.01,0.08,0.01
0.04,-5.02,-0.61,0.0,0.08,0.01
0.04,-4.94,-0.69,0.0,0.09,0.01
0.06,-5.0,-0.56,0.0,0.09,0.01
0.08,-5.02,-0.61,0.0,0.1,0.01
0.13,-5.0,-0.59,0.0,0.1,0.01
0.15,-5.08,-0.67,-0.0,0.11,0.01
0.21,-5.02,-0.67,-0.01,0.11,0.01
0.29,-5.15,-0.63,-0.01,0.12,0.0
0.25,-5.15,-0.57,-0.01,0.14,-0.0
0.25,-5.21,-0.57,-0.01,0.15,-0.0
0.27,-5.17,-0.44,-0.01,0.15,-0.01
0.19,-5.27,-0.54,-0.01,0.16,-0.01
0.27,-5.25,-0.5,-0.0,0.16,-0.01
0.25,-5.36,-0.46,0.0,0.17,-0.01
0.17,-5.4,-0.5,0.01,0.17,-0.02
0.19,-5.46,-0.46,0.02,0.17,-0.02
0.13,-5.36,-0.48,0.02,0.17,-0.02
0.13,-5.38,-0.48,0.03,0.17,-0.02
0.06,-5.25,-0.46,0.03,0.17,-0.02
0.11,-5.31,-0.4,0.03,0.16,-0.03
0.02,-5.27,-0.38,0.04,0.16,-0.03
0.0,-5.23,-0.36,0.04,0.15,-0.03
-0.17,-5.17,-0.52,0.04,0.14,-0.03
-0.13,-5.09,-0.19,0.05,0.14,-0.03
-0.13,-5.09,-0.17,0.05,0.12,-0.03
-0.15,-5.08,-0.06,0.06,0.11,-0.03
-0.27,-5.08,0.02,0.06,0.1,-0.03
-0.31,-5.09,0.13,0.06,0.08,-0.02
-0.31,-5.08,0.1,0.07,0.07,-0.02
-0.31,-5.11,-0.02,0.07,0.05,-0.02
-0.36,-5.08,0.15,0.07,0.04,-0.02
-0.42,-5.08,0.0,0.07,0.02,-0.02
-0.38,-5.02,0.0,0.07,0.01,-0.02
-0.34,-5.09,-0.06,0.07,-0.0,-0.02
-0.36,-5.06,0.0,0.06,-0.01,-0.02
-0.4,-4.96,0.04,0.06,-0.03,-0.03
-0.42,-4.96,0.1,0.05,-0.04,-0.03
-0.36,-4.92,-0.04,0.04,-0.05,-0.03
-0.4,-4.88,0.06,0.03,-0.06,-0.04
-0.38,-4.87,0.11,0.03,-0.07,-0.04
-0.34,-4.73,0.08,0.02,-0.08,-0.04
-0.34,-4.79,0.06,0.01,-0.09,-0.05
-0.34,-4.69,0.08,-0.0,-0.1,-0.05
-0.29,-4.67,0.19,-0.01,-0.11,-0.05
-0.27,-4.73,0.11,-0.03,-0.11,-0.06
-0.29,-4.75,0.02,-0.04,-0.12,-0.06
-0.19,-4.73,0.02,-0.05,-0.12,-0.06
-0.21,-4.77,-0.04,-0.06,-0.13,-0.06
-0.15,-4.75,-0.06,-0.07,-0.13,-0.06
-0.1,-4.77,-0.02,-0.08,-0.13,-0.06
-0.06,-4.73,-0.13,-0.08,-0.13,-0.06
-0.02,-4.75,-0.08,-0.09,-0.13,-0.06
0.06,-4.79,-0.13,-0.1,-0.13,-0.06
0.1,-4.73,-0.27,-0.1,-0.13,-0.05
0.1,-4.77,-0.06,-0.11,-0.13,-0.05
0.19,-4.79,-0.11,-0.12,-0.13,-0.05
0.17,-4.77,-0.15,-0.12,-0.12,-0.05
0.13,-4.69,-0.1,-0.13,-0.12,-0.04
0.15,-4.73,-0.17,-0.13,-0.12,-0.04
0.1,-4.71,-0.15,-0.14,-0.12,-0.04
0.1,-4.73,-0.13,-0.14,-0.12,-0.03
0.17,-4.83,-0.11,-0.15,-0.12,-0.03
0.11,-4.79,-0.08,-0.15,-0.12,-0.02
0.13,-4.77,-0.06,-0.15,-0.12,-0.02
0.11,-4.79,-0.08,-0.16,-0.11,-0.02
0.13,-4.81,-0.08,-0.16,-0.11,-0.01
0.06,-4.85,-0.04,-0.16,-0.11,-0.01
0.1,-4.88,-0.1,-0.17,-0.11,-0.01
0.04,-4.87,-0.08,-0.17,-0.11,-0.01
0.04,-4.87,-0.13,-0.17,-0.11,-0.0
0.02,-4.88,-0.15,-0.17,-0.11,-0.0
0.08,-4.9,-0.11,-0.17,-0.1,-0.0
-0.02,-4.88,-0.08,-0.17,-0.1,0.0
0.04,-4.9,-0.02,-0.17,-0.1,0.0
0.0,-4.88,-0.1,-0.17,-0.1,0.0
-0.04,-4.9,-0.13,-0.17,-0.09,0.0
-0.04,-4.87,-0.08,-0.17,-0.09,0.0
-0.02,-4.92,-0.04,-0.17,-0.09,0.01
0.06,-4.92,-0.02,-0.16,-0.09,0.01
0.02,-4.88,-0.04,-0.16,-0.08,0.01
-0.02,-4.92,0.0,-0.15,-0.08,0.01
0.08,-4.88,0.0,-0.15,-0.08,0.01
