accX,accY,accZ,gyroX,gyroY,gyroZ
-1.24,-4.64,-2.32,-0.33,-0.03,0.02
-1.17,-4.6,-2.13,-0.3,-0.06,0.02
-1.0,-4.37,-2.09,-0.28,-0.09,0.03
-0.8,-4.12,-1.93,-0.26,-0.11,0.03
-0.69,-4.08,-1.9,-0.25,-0.13,0.03
-0.57,-4.02,-1.97,-0.25,-0.13,0.03
-0.36,-3.96,-1.97,-0.25,-0.12,0.03
-0.06,-3.93,-1.95,-0.26,-0.1,0.03
0.17,-3.93,-1.92,-0.27,-0.06,0.03
0.17,-3.95,-1.99,-0.28,-0.02,0.02
0.08,-4.0,-1.88,-0.3,0.02,0.02
0.23,-3.89,-2.11,-0.32,0.06,0.02
0.25,-3.95,-2.07,-0.34,0.08,0.02
0.06,-3.96,-2.2,-0.36,0.1,0.02
0.0,-3.98,-2.22,-0.39,0.12,0.02
-0.17,-3.98,-2.34,-0.42,0.13,0.02
-0.31,-4.06,-2.39,-0.45,0.14,0.02
-0.33,-4.12,-2.49,-0.47,0.14,0.02
-0.5,-4.16,-2.47,-0.49,0.15,0.01
-0.54,-4.23,-2.45,-0.51,0.15,0.01
-0.48,-4.29,-2.49,-0.52,0.15,0.01
-0.54,-4.33,-2.47,-0.52,0.14,0.0
-0.54,-4.33,-2.45,-0.53,0.12,-0.0
-0.46,-4.39,-2.43,-0.53,0.1,-0.01
-0.4,-4.37,-2.51,-0.53,0.08,-0.02
-0.33,-4.23,-2.55,-0.53,0.06,-0.02
-0.31,-4.19,-2.57,-0.53,0.04,-0.03
-0.27,-4.1,-2.57,-0.52,0.02,-0.03
-0.4,-3.96,-2.53,-0.51,0.01,-0.02
-0.1,-3.96,-2.68,-0.49,-0.01,-0.01
0.19,-4.0,-2.72,-0.48,-0.02,-0.01
0.21,-3.98,-2.76,-0.47,-0.01,-0.02
0.13,-3.91,-2.87,-0.46,0.0,-0.04
0.02,-3.77,-2.83,-0.46,0.01,-0.04
0.04,-3.75,-2.74,-0.46,0.02,-0.05
0.02,-3.68,-2.66,-0.46,0.03,-0.05
0.04,-3.77,-2.68,-0.46,0.03,-0.06
0.04,-3.81,-2.55,-0.46,0.03,-0.06
0.11,-3.87,-2.6,-0.46,0.03,-0.07
0.08,-3.81,-2.66,-0.46,0.03,-0.08
0.08,-3.95,-2.66,-0.46,0.03,-0.09
0.15,-4.0,-2.8,-0.46,0.02,-0.1
0.08,-4.06,-2.82,-0.47,0.02,-0.1
0.1,-4.02,-2.93,-0.47,0.01,-0.12
0.13,-4.1,-2.95,-0.48,0.01,-0.13
0.19,-4.14,-2.95,-0.48,0.01,-0.14
0.19,-4.1,-2.89,-0.49,0.0,-0.15
0.17,-4.16,-2.76,-0.5,-0.01,-0.17
0.21,-4.18,-2.83,-0.51,-0.03,-0.17
0.15,-4.18,-2.85,-0.51,-0.05,-0.17
0.15,-4.18,-2.99,-0.51,-0.07,-0.18
0.15,-4.04,-3.03,-0.52,-0.08,-0.2
0.15,-4.1,-3.05,-0.52,-0.09,-0.21
0.11,-4.08,-3.05,-0.51,-0.09,-0.22
0.21,-4.04,-3.18,-0.49,-0.09,-0.22
0.33,-4.14,-3.2,-0.46,-0.08,-0.22
0.44,-4.16,-3.16,-0.44,-0.08,-0.22
0.54,-4.27,-3.28,-0.4,-0.07,-0.21
0.63,-4.35,-3.24,-0.36,-0.05,-0.19
0.8,-4.31,-3.45,-0.32,-0.04,-0.17
0.9,-4.31,-3.6,-0.28,-0.01,-0.15
1.11,-4.29,-3.58,-0.23,0.01,-0.13
1.23,-4.16,-3.72,-0.2,0.02,-0.12
1.23,-4.08,-3.85,-0.16,0.03,-0.1
1.21,-3.95,-3.89,-0.14,0.03,-0.09
1.15,-3.81,-4.0,-0.13,0.02,-0.08
1.07,-3.66,-4.02,-0.13,0.02,-0.07
0.96,-3.68,-4.02,-0.15,0.03,-0.06
0.84,-3.68,-3.96,-0.17,0.05,-0.06
0.71,-3.72,-3.95,-0.19,0.09,-0.05
0.63,-3.62,-3.95,-0.2,0.13,-0.05
0.67,-3.64,-3.95,-0.21,0.18,-0.05
0.59,-3.56,-3.83,-0.21,0.23,-0.05
0.63,-3.56,-3.81,-0.21,0.28,-0.05
0.69,-3.54,-3.79,-0.2,0.32,-0.05
0.61,-3.51,-3.7,-0.19,0.37,-0.05
0.69,-3.49,-3.72,-0.19,0.41,-0.04
0.69,-3.47,-3.62,-0.18,0.46,-0.03
0.73,-3.52,-3.58,-0.17,0.51,-0.03
0.61,-3.47,-3.52,-0.17,0.56,-0.03
0.67,-3.41,-3.39,-0.17,0.59,-0.02
0.52,-3.41,-3.31,-0.18,0.62,-0.01
0.5,-3.39,-3.22,-0.19,0.63,-0.01
0.42,-3.28,-3.16,-0.2,0.63,-0.01
0.31,-3.18,-3.14,-0.22,0.63,-0.02
0.11,-3.1,-2.99,-0.25,0.61,-0.02
0.04,-3.14,-2.95,-0.27,0.59,-0.02
-0.06,-3.1,-3.01,-0.29,0.56,-0.03
-0.15,-3.12,-3.1,-0.29,0.55,-0.04
-0.34,-3.18,-3.22,-0.29,0.55,-0.04
-0.38,-3.22,-3.24,-0.28,0.56,-0.04
-0.44,-3.16,-3.29,-0.27,0.57,-0.04
-0.52,-3.12,-3.33,-0.25,0.59,-0.04
-0.52,-3.01,-3.2,-0.25,0.61,-0.04
-0.48,-3.03,-3.06,-0.25,0.62,-0.03
-0.42,-3.03,-2.87,-0.24,0.63,-0.02
-0.34,-3.01,-2.91,-0.24,0.63,-0.01
-0.44,-2.93,-2.8,-0.23,0.63,-0.0
-0.4,-2.87,-2.87,-0.22,0.63,0.01
-0.42,-2.74,-2.87,-0.21,0.62,0.01
-0.27,-2.59,-2.97,-0.2,0.61,0.02
-0.21,-2.49,-3.01,-0.2,0.59,0.03
-0.13,-2.43,-3.14,-0.2,0.59,0.03
-0.1,-2.41,-3.05,-0.21,0.58,0.03
0.0,-2.41,-3.08,-0.22,0.57,0.03
0.04,-2.45,-2.95,-0.23,0.57,0.02
0.0,-2.66,-2.83,-0.23,0.57,0.02
0.08,-2.85,-2.82,-0.22,0.57,0.02
0.06,-2.97,-2.72,-0.21,0.56,0.01
0.02,-3.01,-2.7,-0.21,0.56,0.01
0.06,-3.08,-2.82,-0.2,0.55,0.0
0.08,-3.14,-2.85,-0.18,0.56,0.01
0.1,-3.18,-2.87,-0.17,0.56,0.01
0.17,-3.28,-2.74,-0.16,0.56,0.01
0.29,-3.51,-2.64,-0.14,0.57,0.01
0.4,-3.6,-2.6,-0.12,0.57,0.01
0.44,-3.75,-2.64,-0.11,0.57,0.02
0.61,-3.85,-2.78,-0.08,0.57,0.02
0.88,-3.85,-3.22,-0.04,0.55,0.03
1.11,-3.54,-3.7,0.02,0.54,0.05
1.19,-3.14,-4.23,0.08,0.54,0.09
1.19,-2.74,-4.48,0.13,0.53,0.13
1.19,-2.45,-4.42,0.16,0.53,0.17
1.13,-2.18,-4.08,0.18,0.51,0.19
1.05,-2.13,-3.75,0.2,0.48,0.19
1.07,-2.03,-3.52,0.21,0.43,0.18
0.96,-1.9,-3.45,0.2,0.35,0.16
0.82,-1.82,-3.6,0.2,0.27,0.14
0.52,-1.7,-3.96,0.2,0.21,0.11
0.54,-1.69,-4.21,0.2,0.16,0.09
0.57,-1.57,-4.44,0.19,0.15,0.06
0.54,-1.42,-4.48,0.18,0.16,0.03
0.98,-1.49,-4.37,0.17,0.2,0.01
1.21,-1.63,-3.98,0.14,0.24,-0.01
1.34,-1.76,-3.75,0.11,0.27,-0.03
1.7,-1.99,-3.49,0.07,0.3,-0.03
1.74,-2.38,-3.43,0.04,0.32,-0.02
1.92,-2.72,-3.43,0.02,0.33,-0.02
2.05,-2.93,-3.43,0.02,0.33,-0.01
2.07,-3.18,-3.58,0.02,0.34,-0.01
2.15,-3.33,-3.72,0.04,0.33,-0.0
2.11,-3.39,-3.72,0.06,0.33,0.0
2.09,-3.43,-3.87,0.09,0.33,0.01
2.05,-3.43,-3.98,0.12,0.33,0.02
1.99,-3.28,-4.04,0.16,0.33,0.03
1.82,-3.18,-4.06,0.19,0.33,0.03
1.72,-3.05,-4.1,0.21,0.34,0.03
1.65,-2.85,-4.12,0.22,0.36,0.03
1.55,-2.8,-4.25,0.23,0.39,0.02
1.55,-2.72,-4.31,0.22,0.42,0.01
1.53,-2.68,-4.35,0.21,0.45,-0.0
1.61,-2.62,-4.18,0.2,0.49,-0.01
1.67,-2.74,-4.27,0.19,0.52,-0.01
1.67,-2.8,-4.29,0.19,0.55,-0.01
1.7,-2.95,-4.27,0.19,0.57,-0.01
