accX,accY,accZ,gyroX,gyroY,gyroZ
0.06,-4.44,1.7,-0.01,0.03,-0.0
0.04,-4.5,1.76,-0.01,0.04,-0.0
0.06,-4.42,1.78,-0.01,0.04,-0.0
0.06,-4.44,1.78,-0.0,0.04,-0.0
0.06,-4.42,1.8,-0.0,0.04,-0.0
0.06,-4.41,1.7,-0.0,0.03,-0.0
0.02,-4.44,1.76,-0.0,0.03,-0.0
0.06,-4.44,1.76,-0.01,0.03,-0.0
0.06,-4.37,1.72,-0.01,0.03,-0.0
0.06,-4.42,1.7,-0.01,0.03,0.0
0.11,-4.44,1.76,-0.01,0.03,-0.0
0.04,-4.42,1.72,-0.01,0.03,-0.0
0.08,-4.46,1.78,-0.01,0.03,-0.0
0.06,-4.46,1.76,-0.01,0.03,-0.0
0.04,-4.42,1.69,-0.01,0.03,-0.0
0.13,-4.46,1.63,-0.01,0.03,-0.0
0.08,-4.42,1.67,-0.01,0.03,-0.0
0.06,-4.44,1.7,-0.01,0.03,-0.0
0.02,-4.41,1.63,-0.01,0.03,-0.0
0.06,-4.41,1.74,-0.02,0.04,-0.0
0.08,-4.48,1.7,-0.02,0.04,-0.0
0.04,-4.48,1.61,-0.02,0.03,0.0
0.08,-4.37,1.63,-0.02,0.03,-0.0
0.17,-4.35,1.76,-0.01,0.03,-0.0
0.1,-4.54,1.57,-0.01,0.03,-0.0
0.11,-4.37,1.97,-0.01,0.03,-0.0
0.25,-4.46,1.72,-0.01,0.03,-0.0
0.13,-4.48,1.99,-0.01,0.03,-0.0
0.0,-4.54,1.86,-0.0,0.03,-0.0
0.1,-4.46,1.74,-0.01,0.03,-0.0
0.06,-4.39,1.65,-0.01,0.03,-0.0
0.04,-4.46,1.72,-0.01,0.04,-0.0
0.19,-4.29,1.86,-0.01,0.04,-0.0
0.0,-4.52,1.9,-0.01,0.03,-0.0
0.0,-4.29,1.92,-0.01,0.03,-0.01
-0.04,-4.27,1.63,-0.01,0.03,-0.0
0.11,-4.46,1.8,-0.01,0.03,-0.0
0.02,-4.52,1.69,-0.01,0.03,-0.0
0.13,-4.25,1.95,-0.01,0.03,-0.0
0.04,-4.52,1.76,-0.01,0.03,-0.0
0.04,-4.44,1.69,-0.01,0.03,-0.0
0.06,-4.41,1.72,-0.01,0.03,-0.0
0.06,-4.48,1.7,-0.01,0.03,-0.0
0.08,-4.33,1.7,-0.01,0.03,-0.0
0.06,-4.52,1.78,-0.01,0.03,-0.0
0.06,-4.48,1.7,-0.01,0.03,-0.0
0.02,-4.42,1.72,-0.01,0.03,-0.0
0.08,-4.44,1.74,-0.01,0.03,-0.0
0.0,-4.39,1.74,-0.01,0.03,-0.0
0.02,-4.44,1.7,-0.01,0.03,0.0
0.02,-4.41,1.76,-0.01,0.04,-0.0
0.02,-4.41,1.76,-0.01,0.04,-0.0
0.0,-4.42,1.74,-0.01,0.04,-0.0
0.06,-4.44,1.61,-0.01,0.04,-0.0
0.06,-4.44,1.7,-0.01,0.04,-0.0
0.06,-4.41,1.74,-0.0,0.04,-0.0
0.02,-4.42,1.78,-0.0,0.04,-0.0
0.06,-4.5,1.74,-0.0,0.04,-0.0
0.06,-4.41,1.63,-0.0,0.03,-0.0
0.1,-4.44,1.65,-0.0,0.04,-0.0
0.06,-4.39,1.72,-0.01,0.04,-0.0
0.06,-4.37,1.72,-0.01,0.04,-0.0
0.04,-4.39,1.72,-0.01,0.04,-0.0
0.08,-4.39,1.7,-0.01,0.03,-0.0
0.1,-4.41,1.72,-0.01,0.03,-0.01
0.02,-4.41,1.67,-0.01,0.03,-0.0
0.04,-4.44,1.67,-0.01,0.03,-0.0
0.06,-4.41,1.74,-0.01,0.03,-0.0
0.04,-4.46,1.74,-0.01,0.03,-0.0
0.1,-4.46,1.72,-0.01,0.03,-0.0
0.02,-4.37,1.74,-0.01,0.03,-0.0
0.06,-4.42,1.74,-0.01,0.03,-0.0
0.02,-4.5,1.74,-0.01,0.03,-0.0
0.04,-4.46,1.74,-0.01,0.03,-0.0
