accX,accY,accZ,gyroX,gyroY,gyroZ
0.0,-0.27,4.71,0.0,0.03,-0.01
0.0,-0.34,4.69,0.0,0.03,-0.01
0.02,-0.27,4.64,0.0,0.03,-0.01
-0.02,-0.33,4.67,0.0,0.03,-0.01
-0.04,-0.25,4.6,0.0,0.03,-0.01
0.02,-0.33,4.58,0.0,0.04,-0.01
0.02,-0.33,4.64,0.0,0.04,-0.01
0.02,-0.31,4.67,0.0,0.04,-0.01
-0.06,-0.31,4.67,-0.0,0.04,-0.01
0.0,-0.29,4.65,-0.0,0.04,-0.01
0.0,-0.27,4.73,-0.01,0.04,-0.0
-0.02,-0.27,4.64,-0.01,0.04,-0.0
-0.02,-0.36,4.71,-0.02,0.04,-0.0
0.0,-0.31,4.73,-0.02,0.05,-0.0
0.02,-0.36,4.75,-0.02,0.05,-0.0
0.0,-0.33,4.71,-0.02,0.05,-0.0
-0.02,-0.36,4.64,-0.01,0.05,-0.0
0.0,-0.34,4.64,0.0,0.05,-0.0
0.0,-0.4,4.65,0.01,0.05,-0.0
-0.04,-0.29,4.6,0.03,0.05,-0.0
0.02,-0.29,4.62,0.03,0.04,-0.0
0.02,-0.27,4.6,0.04,0.04,-0.0
-0.04,-0.23,4.64,0.04,0.04,-0.0
-0.04,-0.19,4.56,0.03,0.04,-0.0
0.02,-0.23,4.56,0.02,0.04,-0.01
-0.19,-0.15,4.58,0.02,0.04,-0.01
0.0,-0.21,4.67,0.01,0.03,-0.01
0.0,-0.27,4.69,0.0,0.03,-0.01
0.0,-0.21,4.69,-0.0,0.03,-0.01
-0.04,-0.29,4.71,-0.0,0.03,-0.0
-0.02,-0.31,4.79,0.0,0.03,-0.0
0.0,-0.33,4.67,0.0,0.03,-0.0
0.02,-0.25,4.65,0.01,0.03,-0.0
-0.02,-0.29,4.69,0.01,0.03,-0.0
0.0,-0.25,4.65,0.01,0.03,-0.0
0.0,-0.27,4.69,0.01,0.04,-0.0
-0.02,-0.31,4.65,0.01,0.04,-0.0
0.0,-0.31,4.67,0.01,0.04,-0.0
-0.04,-0.29,4.69,0.01,0.03,-0.0
0.02,-0.27,4.62,0.01,0.03,-0.0
0.0,-0.27,4.69,0.01,0.03,-0.0
-0.04,-0.25,4.62,0.0,0.03,-0.0
-0.04,-0.23,4.64,0.0,0.03,-0.0
-0.02,-0.25,4.67,0.01,0.03,-0.0
-0.06,-0.21,4.69,0.0,0.03,-0.0
0.0,-0.27,4.69,0.0,0.03,-0.0
-0.04,-0.27,4.69,0.0,0.03,-0.0
0.08,-0.15,4.67,0.0,0.04,-0.0
0.0,-0.25,4.67,-0.0,0.03,-0.0
0.0,-0.25,4.69,-0.0,0.03,-0.0
-0.02,-0.27,4.67,-0.0,0.03,-0.0
-0.02,-0.29,4.65,-0.0,0.03,-0.0
-0.1,-0.23,4.71,-0.0,0.03,-0.0
-0.02,-0.31,4.71,0.0,0.03,-0.0
-0.04,-0.25,4.64,0.0,0.03,-0.0
0.0,-0.29,4.64,0.0,0.03,-0.0
-0.04,-0.29,4.64,0.01,0.03,-0.0
0.0,-0.27,4.56,0.01,0.03,-0.0
0.0,-0.25,4.67,0.01,0.03,-0.0
-0.02,-0.31,4.65,0.01,0.03,-0.0
0.0,-0.27,4.62,0.01,0.03,-0.0
0.0,-0.19,4.69,0.01,0.03,-0.0
0.0,-0.27,4.71,0.01,0.03,-0.0
-0.04,-0.25,4.69,0.0,0.03,-0.0
-0.06,-0.25,4.67,0.0,0.03,-0.0
-0.02,-0.21,4.58,-0.0,0.03,-0.0
0.0,-0.25,4.71,-0.0,0.03,-0.0
0.02,-0.31,4.65,-0.0,0.03,-0.0
-0.04,-0.29,4.69,-0.0,0.03,-0.0
0.0,-0.25,4.73,0.0,0.03,-0.0
-0.04,-0.31,4.71,0.01,0.03,-0.0
0.0,-0.29,4.64,0.01,0.03,-0.0
0.0,-0.23,4.67,0.01,0.03,-0.0
-0.04,-0.25,4.67,0.02,0.04,-0.0
-0.04,-0.21,4.65,0.02,0.04,-0.0
-0.04,-0.23,4.69,0.02,0.03,-0.0
-0.04,-0.23,4.6,0.02,0.04,-0.0
-0.02,-0.23,4.64,0.01,0.03,-0.0
-0.04,-0.21,4.64,0.01,0.03,-0.0
-0.02,-0.17,4.62,0.01,0.03,-0.0
-0.04,-0.17,4.6,0.01,0.03,-0.0
0.0,-0.15,4.67,0.01,0.03,-0.0
0.02,-0.27,4.73,0.0,0.03,-0.0
0.0,-0.19,4.64,0.0,0.03,-0.0
0.0,-0.21,4.71,0.0,0.03,-0.0
0.02,-0.29,4.69,0.0,0.03,-0.0
-0.06,-0.23,4.67,0.0,0.03,-0.0
0.0,-0.31,4.65,0.0,0.03,-0.0
-0.04,-0.23,4.64,0.0,0.03,-0.0
0.0,-0.25,4.64,0.0,0.03,-0.0
0.0,-0.31,4.65,0.01,0.03,-0.0
-0.15,-0.29,4.65,0.01,0.03,-0.0
-0.06,-0.15,4.64,0.01,0.03,-0.0
0.0,-0.29,4.67,0.01,0.03,-0.0
0.0,-0.25,4.67,0.01,0.03,-0.0
0.02,-0.21,4.71,0.01,0.03,-0.0
0.0,-0.21,4.67,0.01,0.03,-0.0
-0.02,-0.25,4.69,0.01,0.03,-0.0
0.02,-0.25,4.65,0.01,0.03,-0.0
0.0,-0.21,4.69,0.0,0.03,-0.0
0.0,-0.23,4.67,0.0,0.03,-0.0
0.0,-0.23,4.67,0.0,0.03,-0.0
-0.1,-0.19,4.69,-0.0,0.03,-0.0
-0.04,-0.17,4.65,-0.0,0.03,-0.0
0.0,-0.13,4.67,-0.0,0.03,-0.0
0.0,-0.23,4.64,-0.0,0.03,-0.0
0.0,-0.23,4.62,-0.0,0.03,-0.0
0.0,-0.17,4.58,-0.0,0.03,-0.0
0.0,-0.23,4.69,-0.0,0.03,-0.0
0.0,-0.17,4.71,-0.0,0.03,-0.0
-0.02,-0.21,4.6,-0.0,0.04,-0.0
0.0,-0.25,4.65,-0.0,0.04,-0.0
0.02,-0.15,4.52,-0.0,0.04,-0.0
0.02,-0.21,4.64,-0.0,0.04,-0.0
0.0,-0.23,4.6,0.0,0.03,-0.0
0.0,-0.15,4.62,0.0,0.04,-0.0
0.04,-0.27,4.65,0.0,0.03,0.0
0.0,-0.19,4.64,0.0,0.03,-0.0
0.0,-0.23,4.69,0.0,0.03,-0.0
-0.02,-0.23,4.64,0.0,0.03,-0.0
0.0,-0.25,4.65,0.0,0.03,-0.0
-0.04,-0.25,4.64,0.0,0.03,-0.0
0.04,-0.29,4.67,0.01,0.03,-0.0
0.04,-0.27,4.6,0.01,0.03,-0.0
0.0,-0.29,4.65,0.01,0.03,-0.0
0.0,-0.21,4.69,0.01,0.03,-0.0
-0.02,-0.25,4.65,0.01,0.03,-0.01
-0.02,-0.19,4.67,0.01,0.03,-0.01
0.0,-0.13,4.69,0.01,0.03,-0.01
0.0,-0.23,4.62,0.01,0.03,-0.01
0.0,-0.19,4.64,0.01,0.03,-0.01
0.0,-0.21,4.69,0.01,0.03,-0.0
0.0,-0.21,4.64,0.01,0.03,-0.0
0.0,-0.19,4.64,0.01,0.03,-0.0
0.02,-0.21,4.69,0.01,0.03,-0.0
0.0,-0.13,4.62,0.01,0.03,-0.0
0.0,-0.19,4.58,0.01,0.03,-0.0
0.0,-0.17,4.67,0.0,0.03,-0.0
0.02,-0.15,4.71,-0.0,0.03,-0.0
0.0,-0.17,4.73,-0.01,0.03,-0.0
-0.02,-0.13,4.73,-0.02,0.04,-0.0
0.0,-0.23,4.71,-0.02,0.04,-0.0
-0.02,-0.27,4.77,-0.03,0.04,0.0
0.0,-0.25,4.75,-0.03,0.04,-0.0
0.0,-0.21,4.71,-0.03,0.04,-0.0
-0.02,-0.31,4.71,-0.02,0.04,-0.0
