accX,accY,accZ,gyroX,gyroY,gyroZ
0.06,-4.75,-0.94,0.06,0.25,-0.07
-0.02,-4.64,-1.02,0.04,0.24,-0.07
0.02,-4.6,-1.09,0.03,0.24,-0.07
0.08,-4.64,-1.05,0.01,0.23,-0.06
0.08,-4.6,-1.15,-0.01,0.22,-0.06
0.1,-4.65,-1.17,-0.03,0.22,-0.06
0.25,-4.73,-1.3,-0.05,0.22,-0.06
0.29,-4.85,-1.24,-0.07,0.22,-0.05
0.34,-4.94,-1.26,-0.09,0.23,-0.05
0.52,-5.15,-1.26,-0.11,0.24,-0.05
0.65,-5.38,-1.23,-0.13,0.25,-0.05
0.94,-5.67,-1.17,-0.14,0.27,-0.05
1.09,-5.78,-1.17,-0.15,0.29,-0.06
1.19,-6.0,-1.19,-0.17,0.3,-0.06
1.24,-6.07,-1.17,-0.19,0.32,-0.06
1.42,-6.22,-1.09,-0.21,0.34,-0.06
1.49,-6.26,-1.09,-0.22,0.35,-0.06
1.47,-6.4,-1.07,-0.23,0.37,-0.05
1.32,-6.38,-1.02,-0.24,0.39,-0.03
1.21,-6.51,-0.9,-0.25,0.39,-0.01
1.03,-6.51,-0.86,-0.26,0.4,0.01
0.86,-6.57,-0.79,-0.26,0.41,0.04
0.69,-6.61,-0.71,-0.25,0.42,0.07
0.65,-6.67,-0.65,-0.25,0.43,0.1
0.75,-6.55,-0.56,-0.26,0.45,0.13
0.48,-6.82,-0.59,-0.28,0.47,0.16
0.46,-6.91,-0.5,-0.28,0.48,0.17
0.54,-6.99,-0.27,-0.27,0.49,0.17
0.69,-6.99,-0.21,-0.26,0.51,0.17
0.65,-6.97,0.0,-0.24,0.53,0.17
0.63,-7.03,-0.11,-0.21,0.55,0.17
0.73,-7.01,-0.34,-0.19,0.56,0.16
0.9,-6.78,-0.75,-0.19,0.57,0.15
1.03,-6.45,-1.23,-0.2,0.57,0.14
1.07,-6.13,-1.76,-0.23,0.57,0.12
1.05,-5.65,-2.32,-0.26,0.56,0.1
0.86,-5.25,-2.97,-0.29,0.54,0.07
0.52,-4.81,-3.43,-0.32,0.52,0.03
0.21,-4.52,-3.79,-0.35,0.5,0.0
-0.15,-4.48,-3.98,-0.39,0.47,-0.02
-0.59,-4.58,-4.08,-0.41,0.45,-0.04
-1.0,-4.75,-4.04,-0.42,0.42,-0.06
-1.32,-5.0,-4.02,-0.41,0.4,-0.07
-1.74,-5.32,-3.95,-0.38,0.37,-0.08
-2.11,-5.65,-3.96,-0.35,0.33,-0.08
-2.01,-5.86,-4.18,-0.31,0.3,-0.07
-1.67,-5.92,-4.27,-0.29,0.27,-0.07
-1.19,-5.88,-4.42,-0.27,0.26,-0.07
-0.54,-5.8,-4.46,-0.26,0.25,-0.06
0.04,-5.71,-4.39,-0.24,0.25,-0.06
0.56,-5.69,-4.29,-0.21,0.25,-0.05
0.96,-5.59,-4.02,-0.18,0.26,-0.04
1.24,-5.46,-3.66,-0.14,0.26,-0.02
1.42,-5.42,-3.45,-0.08,0.25,0.0
1.47,-5.34,-3.18,-0.02,0.22,0.02
1.49,-5.15,-3.03,0.04,0.2,0.03
1.24,-5.06,-2.78,0.1,0.18,0.06
1.09,-4.88,-2.99,0.15,0.16,0.08
0.98,-4.9,-3.08,0.17,0.16,0.09
0.79,-4.88,-3.12,0.14,0.17,0.08
0.75,-4.9,-3.12,0.09,0.17,0.07
0.77,-4.9,-3.14,0.04,0.17,0.06
0.82,-4.92,-3.14,-0.0,0.17,0.05
0.86,-4.94,-2.97,-0.03,0.17,0.06
0.88,-4.96,-2.91,-0.04,0.18,0.05
0.88,-4.9,-2.87,-0.05,0.18,0.04
0.96,-4.92,-2.8,-0.06,0.18,0.01
1.03,-4.9,-2.78,-0.06,0.19,-0.02
0.94,-4.83,-2.93,-0.05,0.2,-0.04
0.63,-4.69,-2.99,-0.04,0.21,-0.06
0.75,-4.52,-3.14,-0.04,0.22,-0.09
0.57,-4.41,-3.16,-0.03,0.25,-0.11
0.46,-4.25,-3.22,-0.03,0.27,-0.12
0.42,-4.33,-3.16,-0.04,0.28,-0.13
0.21,-4.29,-2.99,-0.05,0.3,-0.13
0.29,-4.46,-2.8,-0.05,0.3,-0.12
0.29,-4.41,-2.66,-0.05,0.29,-0.12
0.29,-4.39,-2.51,-0.03,0.29,-0.12
0.33,-4.44,-2.47,-0.01,0.28,-0.13
0.36,-4.29,-2.39,0.0,0.27,-0.14
0.61,-4.23,-2.24,0.01,0.25,-0.15
0.67,-4.25,-2.22,0.01,0.25,-0.15
0.59,-4.12,-2.2,0.03,0.24,-0.15
0.8,-3.87,-2.11,0.03,0.23,-0.15
0.77,-3.72,-2.16,0.04,0.23,-0.15
0.82,-3.58,-2.24,0.03,0.23,-0.15
0.88,-3.47,-2.26,0.03,0.23,-0.15
0.88,-3.41,-2.16,0.02,0.23,-0.15
0.79,-3.28,-2.05,0.01,0.24,-0.15
0.9,-3.28,-2.03,0.0,0.24,-0.15
0.88,-3.12,-2.01,-0.01,0.24,-0.16
0.98,-3.14,-1.95,-0.02,0.23,-0.16
1.02,-3.26,-1.93,-0.04,0.23,-0.17
1.02,-3.28,-1.9,-0.05,0.22,-0.17
0.94,-3.22,-1.95,-0.05,0.21,-0.17
1.05,-3.28,-1.88,-0.07,0.2,-0.17
1.0,-3.31,-1.86,-0.08,0.19,-0.17
0.98,-3.43,-1.86,-0.09,0.17,-0.17
0.88,-3.49,-1.74,-0.1,0.16,-0.17
0.92,-3.62,-1.63,-0.1,0.14,-0.17
0.82,-3.64,-1.69,-0.1,0.13,-0.17
0.88,-3.68,-1.57,-0.1,0.12,-0.17
0.77,-3.68,-1.67,-0.1,0.11,-0.17
0.8,-3.7,-1.59,-0.1,0.1,-0.16
0.8,-3.75,-1.67,-0.09,0.1,-0.16
0.69,-3.73,-1.59,-0.09,0.09,-0.16
0.67,-3.72,-1.7,-0.09,0.08,-0.15
